request_id,submitted_by,agent_id,request_type,submitted_date,resolved_date,status,priority,region,resolution_notes
REQ000001,Matthew Martinez,AGT03641,Access Issue,2024-08-31,,Open,Medium,British Columbia,
REQ000002,Deborah Kim,AGT08175,Dashboard Update,2023-03-30,,In Progress,Medium,Saskatchewan,
REQ000003,Joseph Peters,AGT01645,Data Discrepancy,2021-06-01,2021-06-13,Resolved,Critical,Quebec,Quia numquam rem aliquid sit sequi necessitatibus quasi facilis.
REQ000004,Mark Crawford,AGT06823,Dashboard Update,2021-07-21,2021-08-18,Resolved,Critical,Saskatchewan,Odio asperiores veniam sit veniam quod.
REQ000005,Stacey White,AGT07303,Access Issue,2024-12-15,2025-01-12,Resolved,High,Manitoba,Dolores hic culpa eum omnis vero impedit.
REQ000006,Annette Bowman,AGT00711,Dashboard Update,2025-11-29,,In Progress,High,Alberta,
REQ000007,Veronica Schmidt,AGT02861,Report Request,2023-08-24,,Open,Low,Quebec,
REQ000008,Sean Santiago,AGT04930,Data Discrepancy,2022-02-03,2022-02-15,Resolved,Low,Quebec,Optio voluptate molestiae pariatur dolorem eaque dolores adipisci laudantium cum.
REQ000009,Patricia Barrett,AGT03138,KPI Clarification,2024-01-20,,Escalated,Low,Alberta,
REQ000010,Daniel Nguyen,AGT06732,Ad-hoc Analysis,2021-12-19,,In Progress,Medium,Alberta,
REQ000011,David Lynch,AGT07363,Access Issue,2023-06-18,,Open,Low,Saskatchewan,
REQ000012,Keith Hamilton,AGT02796,Access Issue,2022-12-24,,In Progress,Low,Saskatchewan,
REQ000013,Barbara Lambert,AGT06849,Dashboard Update,2025-12-13,,Escalated,High,Manitoba,
REQ000014,Andrew Kennedy,AGT04425,Data Discrepancy,2021-04-24,,Open,Critical,British Columbia,
REQ000015,Elizabeth Perez,AGT02398,Report Request,2021-11-26,,Open,Medium,British Columbia,
REQ000016,Carlos Fletcher,AGT06109,Report Request,2025-08-10,2025-08-28,Resolved,Critical,Quebec,Officiis illo aliquam inventore deleniti eos tenetur.
REQ000017,Joseph Anderson,AGT08754,Dashboard Update,2024-08-19,,Escalated,Medium,Alberta,
REQ000018,Tracy Wheeler,AGT05936,KPI Clarification,2024-11-04,,In Progress,Critical,Quebec,
REQ000019,Daniel Davis,AGT02869,Data Discrepancy,2022-08-20,,Escalated,Low,Quebec,
REQ000020,Joseph White,AGT07068,Access Issue,2021-01-21,,In Progress,Medium,Saskatchewan,
REQ000021,Jackson Bishop,AGT00680,KPI Clarification,2021-07-24,2021-08-10,Resolved,Medium,Manitoba,Voluptatum eaque molestiae recusandae voluptate eveniet vero aliquam provident ea.
REQ000022,Thomas Jensen,AGT00141,KPI Clarification,2021-06-14,,Escalated,Medium,Saskatchewan,
REQ000023,Edward Williams,AGT03575,Data Discrepancy,2022-09-19,,Open,Critical,British Columbia,
REQ000024,Sonya Howard,AGT04382,Ad-hoc Analysis,2023-09-17,,Escalated,Critical,Quebec,
REQ000025,Erica Adams,AGT01821,Ad-hoc Analysis,2024-09-08,,Open,Medium,Quebec,
REQ000026,Jeffrey Golden,AGT02365,Access Issue,2023-02-22,2023-02-27,Resolved,Medium,Saskatchewan,Inventore facere soluta possimus molestias modi debitis nobis dolores recusandae tempora.
REQ000027,Thomas Hoffman,AGT02991,KPI Clarification,2023-10-22,,Escalated,High,Alberta,
REQ000028,Madison Smith,AGT01572,Access Issue,2024-08-07,,In Progress,High,Quebec,
REQ000029,Brittany Cain,AGT09307,Data Discrepancy,2023-09-22,,Escalated,Medium,Ontario,
REQ000030,Patrick Palmer,AGT06911,Ad-hoc Analysis,2025-11-05,2025-12-02,Resolved,Critical,Manitoba,Ex omnis animi veniam harum facere minus excepturi dicta.
REQ000031,Mark Nelson,AGT00094,Ad-hoc Analysis,2024-01-21,2024-02-20,Resolved,Critical,Saskatchewan,Fuga inventore ipsa earum at.
REQ000032,Albert Hernandez,AGT05004,Dashboard Update,2021-02-15,2021-03-08,Resolved,High,British Columbia,Vel necessitatibus laborum qui adipisci harum libero ut quae.
REQ000033,Emily Li,AGT03112,Report Request,2025-07-30,2025-08-06,Resolved,Low,Manitoba,Similique cupiditate quasi eaque iste nemo.
